City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,Lavrentiya,65.5833,-171.0,25.23,84,21,4.61,RU,2021-09-27 17:54:23
131,Rikitea,-23.1203,-134.9692,73.09,73,15,21.5,PF,2021-09-27 17:53:49
132,Saldanha,-33.0117,17.9442,59.05,77,37,14.45,ZA,2021-09-27 17:54:24
133,Itarema,-2.9248,-39.9167,86.27,62,41,19.57,BR,2021-09-27 17:54:08
134,Tara,56.8944,74.371,39.36,69,100,6.55,RU,2021-09-27 17:54:24
135,Ko Samui,9.5357,99.9357,82.44,71,74,1.39,TH,2021-09-27 17:54:24
136,Terrasini,38.146,13.0844,80.71,74,75,13.8,IT,2021-09-27 17:54:25
137,Acarau,-2.8856,-40.12,86.61,61,24,20.96,BR,2021-09-27 17:54:25
138,Warrnambool,-38.3833,142.4833,51.82,73,97,10.94,AU,2021-09-27 17:54:25
139,Barrow,71.2906,-156.7887,28.31,93,100,15.35,US,2021-09-27 17:54:25
140,Arlit,18.7369,7.3853,93.51,8,0,8.52,NE,2021-09-27 17:54:26
141,Qaanaaq,77.484,-69.3632,25.2,68,100,5.64,GL,2021-09-27 17:54:26
142,Clyde River,70.4692,-68.5914,30.43,86,75,10.36,CA,2021-09-27 17:54:27
143,Lasa,46.6166,10.7002,65.03,76,89,6.2,IT,2021-09-27 17:54:27
144,Fonte Boa,-2.4959,-66.2662,88.11,57,89,4.07,BR,2021-09-27 17:54:27
145,Fez,34.0372,-4.9998,86.25,30,0,8.05,MA,2021-09-27 17:52:51
146,Jamestown,42.097,-79.2353,75.09,56,1,7.0,US,2021-09-27 17:50:23
147,Tiksi,71.6872,128.8694,32.5,96,100,5.55,RU,2021-09-27 17:54:27
148,Broome,42.2506,-75.833,75.2,57,90,3.0,US,2021-09-27 17:54:28
149,Mokhsogollokh,61.4681,128.9203,36.61,71,100,10.8,RU,2021-09-27 17:54:28
150,Sao Felipe,-14.8167,-41.3833,86.85,38,79,9.69,BR,2021-09-27 17:54:28
151,Vaini,-21.2,-175.2,62.76,100,20,3.44,TO,2021-09-27 17:54:29
152,Kapaa,22.0752,-159.319,77.32,78,20,13.8,US,2021-09-27 17:53:49
153,Mahina,-17.5065,-149.489,80.37,69,20,3.44,PF,2021-09-27 17:54:29
154,Dong Hoi,17.4833,106.6,77.25,90,7,3.74,VN,2021-09-27 17:54:29
155,Wamba,8.9333,8.6,76.26,84,54,2.06,NG,2021-09-27 17:54:30
156,Puerto Ayora,-0.7393,-90.3518,75.16,88,100,9.86,EC,2021-09-27 17:53:52
157,Albany,42.6001,-73.9662,75.74,70,91,6.11,US,2021-09-27 17:54:22
158,Mataura,-46.1927,168.8643,40.48,86,36,2.86,NZ,2021-09-27 17:53:55
159,Shatsk,54.0258,41.7119,46.18,90,100,12.35,RU,2021-09-27 17:54:30
160,Fukue,32.6881,128.8419,77.05,79,7,8.93,JP,2021-09-27 17:54:30
161,Taoudenni,22.6783,-3.9836,103.5,6,57,10.92,ML,2021-09-27 17:54:31
162,Torbay,47.6666,-52.7314,66.97,92,75,12.66,CA,2021-09-27 17:54:13
163,Kaitangata,-46.2817,169.8464,39.92,85,17,6.26,NZ,2021-09-27 17:54:20
164,Mataura,-46.1927,168.8643,40.48,86,36,2.86,NZ,2021-09-27 17:53:55
165,Carnarvon,-24.8667,113.6333,62.67,67,2,12.66,AU,2021-09-27 17:53:59
166,Jiangyou,31.7667,104.7167,68.45,84,85,1.99,CN,2021-09-27 17:54:31
167,Bethel,41.3712,-73.414,78.03,58,1,9.22,US,2021-09-27 17:52:34
168,Ikot Ekpene,5.1794,7.7108,75.61,91,86,6.06,NG,2021-09-27 17:54:32
169,Mao,39.8885,4.2658,75.76,73,0,4.61,ES,2021-09-27 17:54:32
170,Hithadhoo,-0.6,73.0833,82.71,75,100,13.35,MV,2021-09-27 17:54:32
171,Souillac,-20.5167,57.5167,72.36,78,40,14.97,MU,2021-09-27 17:54:33
172,Praia Da Vitoria,38.7333,-27.0667,70.05,83,90,15.17,PT,2021-09-27 17:54:33
173,Ancud,-41.8697,-73.8203,54.93,68,48,6.53,CL,2021-09-27 17:54:33
174,Barrow,71.2906,-156.7887,28.31,93,100,15.35,US,2021-09-27 17:54:25
175,Rikitea,-23.1203,-134.9692,73.09,73,15,21.5,PF,2021-09-27 17:53:49
176,Jamestown,42.097,-79.2353,75.09,56,1,7.0,US,2021-09-27 17:50:23
177,Pyu,18.4833,96.4333,73.9,98,100,2.82,MM,2021-09-27 17:54:34
178,Victoria,22.2855,114.1577,85.32,79,0,1.01,HK,2021-09-27 17:50:12
179,Mataura,-46.1927,168.8643,40.48,86,36,2.86,NZ,2021-09-27 17:53:55
180,Bannu,32.9854,70.6027,90.34,39,0,3.53,PK,2021-09-27 17:54:34
181,Broome,42.2506,-75.833,75.2,57,90,3.0,US,2021-09-27 17:54:28
182,Cabo San Lucas,22.8909,-109.9124,92.61,65,1,1.99,MX,2021-09-27 17:53:18
183,Rikitea,-23.1203,-134.9692,73.09,73,15,21.5,PF,2021-09-27 17:53:49
184,Mahebourg,-20.4081,57.7,72.25,78,40,14.97,MU,2021-09-27 17:54:35
185,Saldanha,-33.0117,17.9442,59.05,77,37,14.45,ZA,2021-09-27 17:54:24
186,Svetlyy,54.675,20.1347,50.05,70,18,11.95,RU,2021-09-27 17:54:35
187,Avarua,-21.2078,-159.775,71.65,94,8,1.14,CK,2021-09-27 17:54:14
188,Vaini,-21.2,-175.2,62.76,100,20,3.44,TO,2021-09-27 17:54:29
189,Lavrentiya,65.5833,-171.0,25.23,84,21,4.61,RU,2021-09-27 17:54:23
190,Lagos,6.5833,3.75,80.92,91,96,4.9,NG,2021-09-27 17:50:35
